Retron (sub)b	msr/msd familiyc	Cluster/domaind	Accesione
 II-A1	 IA/IIA1	42_2	fig|549.22.peg.222
 II-A1	 IA/IIA1	42_2	fig|991944.3.peg.3216
 II-A1	 IA/IIA1	42_2	WP_001022871.1
 II-A1	 IA/IIA1	42_2	fig|1638949.3.peg.1051
 II-A1	 IA/IIA1	ni	fig|73010.3.peg.2815
 II-A1	 IA/IIA1	42_2	fig|1444141.3.peg.3893
 II-A1		42_2	fig|232.5.peg.1080
 II-A1		42_2	fig|1175295.3.peg.21
 II-A1	 IA/IIA1	ni	fig|265726.7.peg.3430
 II-A1	 IA/IIA1	42_2	WP_009585554.1
 II-A1		ni	fig|2004649.3.peg.1632
 II-A1		ni	fig|1324350.3.peg.2817
 II-A1	 IA/IIA1	42_2	fig|2048003.3.peg.1682
 II-A1	 IA/IIA1	42_2	fig|571.171.peg.5963
 II-A1	 IA/IIA1	42_2	fig|573.4060.peg.3574
 II-A1	 IA/IIA1	42_2	fig|1173850.3.peg.2995
 II-A1	 IA/IIA1	42_2	fig|1123516.3.peg.1267
 II-A1	 IA/IIA1	42_2	fig|1981674.3.peg.1814
 II-A1	 IA/IIA1	42_2	fig|1947311.3.peg.2053
 II-A1	 IA/IIA1	42_2	fig|1198309.3.peg.4291
 II-A1	 IA/IIA1	42_2	fig|715451.3.peg.1743
 II-A1		42_2	fig|316.285.peg.730
 II-A1	 IA/IIA1	42_2	fig|1190606.3.peg.313
 II-A1		na	WP_009176189.1
 II-A1	 IA/IIA1	42_2	WP_097050713.1
 II-A1	 IA/IIA1	42_2	fig|1208323.3.peg.893
 II-A1		42_2	KZK95863.1
 II-A1	 IA/IIA1	42_2	fig|101571.310.peg.3956
 II-A1		42_2	fig|1882791.3.peg.1790
 II-A1	 IA/IIA1	42_2	fig|1736536.3.peg.4809
 II-A1		42_2	PIG30812.1
 II-A1		42_2	fig|1798244.3.peg.1046
 II-A1	 IA/IIA1	42_2	fig|1131551.3.peg.1124
 II-A1		42_2	fig|1843082.3.peg.1574
 II-A1	 IA/IIA1	42_2	fig|279058.16.peg.4721
 II-A1	 IA/IIA1	42_2	fig|1548123.6.peg.1144
 II-A1		ni	fig|380394.4.peg.276
 II-A1		na	WP_080292858.1
 II-A1		42_2	fig|101571.162.peg.3605
 II-A1		42_2	fig|1382803.3.peg.22
 II-A1		42_2	fig|930.4.peg.3851
 II-A1	 IA/IIA1	42_2	fig|1261658.3.peg.1787
 II-A1		42_2	fig|1679001.3.peg.631
 II-A1	 IA/IIA1	42_2	fig|1334187.3.peg.653
 II-A1		na	fig|1581107.3.peg.1286
 II-A1		42_2	fig|486.24.peg.152
 II-A1	 IA/IIA1	42_2	fig|1953412.3.peg.1956
 II-A1	 IA/IIA1	42_2	WP_090322045.1
 II-A1		42_2	fig|2013740.3.peg.1400
 II-A1	 IA/IIA1	42_2	fig|1907413.3.peg.3170
 II-A1	 IA/IIA1	ni	fig|1817963.3.peg.856
 II-A1	 IA/IIA1	42_2	fig|2035448.3.peg.1752
 II-A1		na	WP_014077019.1
 II-A1	 IA/IIA1	ni	fig|1648404.4.peg.2797
 II-A1	 IA/IIA1	ni	fig|359.11.peg.6331
 II-A1	 IA/IIA1	42_2	fig|887144.4.peg.573
 II-A1	 IA/IIA1	42_2	fig|1116389.3.peg.333
 II-A1	 IA/IIA1	42_2	fig|121719.10.peg.3421
 II-A1		na	fig|34002.6.peg.3570
 II-A1		ni	fig|1940281.4.peg.1560
 II-A1	 IA/IIA1	42_2	fig|1040981.5.peg.1561
 II-A1		na	fig|410764.3.peg.807
 II-A1	 IA/IIA1	42_2	fig|1825934.3.peg.3111
 II-A1	 IA/IIA1	42_2	fig|1952824.3.peg.3061
 II-A1		42_2	fig|1871086.3.peg.2153
 II-A1		42_2	fig|588932.9.peg.647
 II-A1		42_2	fig|1951751.3.peg.1538
 II-A1	 IA/IIA1	42_2	fig|1843368.3.peg.904
 II-A1		ni	fig|155892.10.peg.3219
 II-A1	 IA/IIA1	42_2	fig|43057.4.peg.4537
 II-A1	 IA/IIA1	42_2	fig|1514904.3.peg.974
 II-A1		42_2	fig|1338034.3.peg.722
 II-A1		42_2	fig|150340.18.peg.1837
 II-A1		42_2	fig|196024.5.peg.3821
 II-A1		42_2	fig|244366.32.peg.1886
 II-A1	 IA/IIA1	42_2	fig|180957.35.peg.1654
 II-A1		42_2	fig|55601.149.peg.665
 II-A1	 IA/IIA1	42_2	fig|121723.5.peg.2901
 II-A1		42_2	fig|584.170.peg.837
 II-A1	 IA/IIA1	42_2	fig|40324.136.peg.3276
 II-A1	 IA/IIA1	42_2	fig|1122188.5.peg.411
 II-A1	 IA/IIA1	ni	fig|2032566.3.peg.2826
 II-A1	 IA/IIA1	42_2	fig|287.1731.peg.2578
 II-A1	 IA/IIA1	42_2	fig|251702.3.peg.1529
 II-A1	 IA/IIA1	42_2	fig|1960829.3.peg.5912
 II-A1	 IA/IIA1	42_2	fig|76759.17.peg.5093
 II-A1	 IA/IIA1	42_2	fig|1981678.3.peg.5241
 II-A1	 IA/IIA1	42_2	fig|1699620.3.peg.3028
 II-A1		na	fig|191391.4.peg.2140
 II-A1		42_2	fig|1844093.4.peg.7190
 II-A1	 IA/IIA1	42_2	fig|287.1744.peg.1414
 II-A1		42_2	fig|287.1987.peg.910
 II-A1	 IA/IIA1	42_2	fig|287.4372.peg.4481
 II-A1		na	fig|1856685.4.peg.2159
 II-A1	 IA/IIA1	42_2	fig|1718920.3.peg.3357
 II-A1	 IA/IIA1	42_2	fig|1781066.3.peg.2816
 II-A1	 IA/IIA1	42_2	fig|95485.5.peg.60
 II-A1		42_2	fig|1572871.6.peg.588
 II-A1	 IA/IIA1	42_2	WP_034208069.1
 II-A1	 IA/IIA1	42_2	WP_074283015.1
 II-A1	 IA/IIA1	42_2	fig|1168169.3.peg.2570
 II-A1		42_2	fig|1899355.16.peg.1328
 II-A1	 IA/IIA1	42_2	WP_093197597.1
 II-A1	 IA/IIA1	42_2	fig|1660091.3.peg.1650
 II-A1	 IA/IIA1	42_2	fig|134375.17.peg.4387
 II-A1	 IIA2	42_2	fig|426114.10.peg.1990
 II-A1	 IA/IIA1	ni	fig|1947551.3.peg.1903
 II-A1	 IA/IIA1	42_2	fig|1914330.4.peg.2242
 II-A1		42_2	fig|1947037.3.peg.890
 II-A1		42_2	WP_094422719.1
 II-A1		na	WP_079496884.1
 II-A1		42_2	WP_088126255.1
 II-A1		42_2	WP_049614309.1
 II-A1		42_2	WP_048263135.1
 II-A1		ni	WP_040197602.1
 II-A1		42_2	fig|669.34.peg.1586
 II-A1		42_2	fig|672.219.peg.1032
 II-A1	 IA/IIA1	42_2	fig|670.1028.peg.1775
 II-A1	 IA/IIA1	ni	WP_065207673.1
 II-A1		42_2	fig|1869214.3.peg.2231
 II-A1		42_2	WP_029795910.1
 II-A1		42_2	fig|1191302.3.peg.1081
 II-A1		42_2	fig|668.70.peg.1192
 II-A1	 IA/IIA1	42_2	fig|28229.4.peg.4229
 II-A1		42_2	fig|1855726.3.peg.270
 II-A1		na	fig|1674888.3.peg.829
 II-A1		42_2	fig|687412.4.peg.1108
 II-A1	 IA/IIA1	42_2	WP_092465129.1
 II-A1	 IA/IIA1	42_2	fig|1120653.3.peg.5479
 II-A1	 IA/IIA1	42_2	fig|121719.5.peg.401
 II-A1	 IA/IIA1	42_2	fig|1798804.3.peg.1597
 II-A1	 IA/IIA1	42_2	fig|1946675.3.peg.3089
 II-A1	 IA/IIA1	42_2	fig|36861.5.peg.1400
 II-A1	 IA/IIA1	42_2	fig|1115835.3.peg.1003
 II-A1		42_2	fig|1797188.3.peg.1508
 II-A1	 IA/IIA1	42_2	fig|57320.3.peg.123
 II-A1		42_2	fig|1267534.3.peg.1238
 II-A1	 IA/IIA1	42_2	fig|1951344.3.peg.527
 II-A1		42_2	WP_006226461.1
 II-A1	 IA/IIA1	42_2	fig|1503054.4.peg.5764
 II-A1	 IA/IIA1	42_2	WP_006159686.1
 II-A1		42_2	WP_090191767.1
 II-A1		42_2	fig|539.8.peg.1698
 II-A1	 IA/IIA1	42_2	fig|1946925.3.peg.2129
 II-A1	 IA/IIA1	42_2	WP_047031309.1
 II-A1	 IA/IIA1	42_2	fig|1946134.3.peg.1092
 II-A1	 IA/IIA1	42_2	WP_093914930.1
 II-A1		na	fig|1862950.3.peg.1234
 II-A1	 IA/IIA1	42_2	fig|1166078.4.peg.1483
 II-A1	 IA/IIA1	42_2	fig|709015.3.peg.734
 II-A1		42_2	WP_092160028.1
 II-A1	 IA/IIA1	42_2	fig|2026749.3.peg.3364
 II-A1		42_2	WP_033771991.1
 II-A1		42_2	WP_097097099.1
 II-A1		42_2	fig|1444151.3.peg.2733
 II-A1	 IA/IIA1	42_2	WP_137545672.1
 II-A1		42_2	fig|573.14856.peg.3852
 II-A1		42_2	WP_072021595.1
 II-A1		42_2	fig|29571.3.peg.478
 II-A1		na	WP_004534676.1
 II-A1		42_2	WP_095622523.1
 II-A1		na	fig|376427.4.peg.3223
 II-A1		42_2	fig|862908.3.peg.745
 II-A1		42_2	SCJ40239.1
 II-A1		42_2	fig|717962.3.peg.287
 II-A1		42_2	WP_014642259.1
 I-B1	 IB1	22_2	fig|2009042.3.peg.2106
 I-B1	 IB1	22_2	fig|1981718.3.peg.4346
 I-B1	 IB1	22_2	fig|665135.13.peg.1401
 I-B1	 IB1	22_2	fig|1949067.3.peg.5629
 I-B1	 IB1	22_2	WP_007948552.1
 I-B1		22_2	SFB61662.1
 I-B1		na	WP_011615687.1
 I-B1		na	WP_014778098.1
 I-B1	 IB1	22_2	fig|1429083.4.peg.2612
 I-B1	 IB1	22_2	WP_095024014.1
 I-B1	 IB1	22_2	WP_090203690.1
 I-B1	 IB1	22_2	fig|564423.8.peg.1646
 I-B1		22_2	WP_078802277.1
 I-B1	 IB1	22_2	WP_090453229.1
 I-B1	 IB1	22_2	fig|1306420.5.peg.1032
 I-B1	 IB1	22_2	fig|1357270.3.peg.1923
 I-B1	 IB1	22_2	fig|2018067.3.peg.2950
 I-B1	 IB1	22_2	fig|317.311.peg.3241
 I-B1	 IB1	22_2	fig|287.2309.peg.126
 I-B1	 IB1	22_2	WP_039522442.1
 I-B1	 IB1	na	WP_080861357.1
 I-B1	 IB1	na	WP_014542745.1
 I-B1	 IB1	na	OSL25696.1
 I-B1		22_2	fig|1125693.3.peg.761
 I-B1	 IB1	22_2	KMK80587.1
 I-B1	 IB1	22_2	fig|550.717.peg.2037
 I-B1	 IB1	22_2	ACS86154.1
 I-B1	 IB1	22_2	WP_050122514.1
 I-B1		22_2	WP_081334048.1
 I-B1	 IB1	22_2	WP_055016254.1
 I-B1	 IB1	22_2	fig|56799.5.peg.478
 I-B1	 IB1	22_2	fig|666.3375.peg.2486
 I-B1	 IB1	na	PIW62005.1
 I-B1	 IB1	22_2	OCA54994.1
 I-B1	 IB1	22_2	CNK75559.1
 I-B1	 IB1	22_2	WP_024248662.1
 I-B1	 IB1	22_2	WP_088618141.1
 I-B1		na	WP_051669880.1
 I-B1	 IB1	22_2	PCJ98666.1
 I-B1	 IB1	22_2	WP_081919471.1
 I-B1	 IB1	22_2	WP_055769167.1
 I-B1	 IB1	22_2	WP_039422954.1
 I-B1		ni	WP_078568253.1
 I-B1	 IB1	22_2	WP_093486747.1
 I-B1	 IB1	22_2	WP_077445058.1
 I-B1	 IB1	22_2	WP_092576562.1
 II-A2	 IIA2	42_3	fig|1330528.3.peg.2198
 II-A2		42_3	fig|83655.67.peg.2965
 II-A2	 IIA2	42_3	fig|573.10044.peg.2850
 II-A2	 IIA2	42_3	WP_071888955.1
 II-A2	 IIA2	42_3	fig|1799789.3.peg.4357
 II-A2	 IIA2	42_3	fig|2024839.8.peg.1563
 II-A2	 IIA2	42_3	fig|1381081.7.peg.1167
 II-A2	 IIA2	42_3	fig|670.908.peg.3444
 II-A2	 IIA2	ni	fig|626887.3.peg.2431
 II-A2	 IIA2	42_3	fig|1913989.101.peg.1616
 II-A2		na	fig|262489.9.peg.2938
 II-A2	 IIA2	42_3	fig|2035207.3.peg.545
 II-A2	 IIA2	42_3	fig|28095.13.peg.1040
 II-A2	 IIA2	ni	fig|941449.3.peg.1262
 II-A2		na	fig|1768806.3.peg.778
 II-A2		42_3	WP_083634830.1
 II-A2	 IIA2	42_3	fig|1231.4.peg.574
 III-A1	 IIIA1	np	fig|604089.3.peg.1142
 III-A1	 IIIA1	np	fig|357523.3.peg.1851
 III-A1	 IIIA1	np	fig|1423323.5.peg.321
 III-A1	 IIIA1	np	fig|178356.3.peg.502
 III-A1	 IIIA1	np	fig|1946545.3.peg.3457
 III-A1		na	fig|150146.3.peg.2822
 III-A1		na	fig|229203.4.peg.1981
 III-A1	 IIIA1	np	fig|280093.5.peg.432
 III-A1	 IIIA1	113_1	fig|728056.4.peg.1154
 III-A1	 IIIA1	113_1	fig|143224.8.peg.2343
 III-A1	 IIIA1	113_1	fig|1225176.3.peg.4300
 III-A1	 IIIA1	113_1	fig|1434700.3.peg.581
 III-A1	 IIIA1	113_1	fig|996.47.peg.468
 III-A1	 IIIA1	113_1	fig|172045.56.peg.2231
 III-A1	 IIIA1	113_1	fig|2024823.3.peg.2086
 III-A1	 IIIA1	113_1	fig|2026728.18.peg.4090
 III-A1	 IIIA1	113_1	fig|980584.3.peg.2930
 III-A1	 IIIA1	113_1	fig|1946744.3.peg.1682
 III-A1	 IIIA1	113_1	fig|1046627.3.peg.2526
 III-A1	 IIIA1	113_1	fig|906888.15.peg.37
 III-A1		na	fig|407022.4.peg.2865
 III-A1	 IIIA1	113_1	fig|1500282.3.peg.3713
 III-A1	 IIIA1	113_1	WP_084550290.1
 III-A1	 IIIA1	113_1	fig|190304.8.peg.741
 III-A1	 IIIA1	113_1	fig|1352.1731.peg.603
 III-A1		113_1	fig|1428.658.peg.666
 III-A1		113_1	fig|1497681.3.peg.3095
 III-A1		113_1	fig|1396.1440.peg.4237
 III-A1		113_1	fig|1917876.3.peg.2997
 III-A1		113_1	fig|1952168.3.peg.215
 III-A1		113_1	fig|1907659.3.peg.1085
 III-A1		np	fig|1265309.16.peg.461
 III-A1		113_1	fig|853.163.peg.215
 III-A1		113_1	fig|1264.5.peg.4
 III-A1		113_1	fig|1500289.3.peg.4469
 III-A1	 IIIA1	113_1	fig|1197728.3.peg.2386
 III-A1	 IIIA1	np	fig|1947486.3.peg.2515
 III-A1		113_1	fig|529.12.peg.1303
 III-A1		113_1	fig|1523429.3.peg.2936
 III-A1		113_1	fig|1761878.3.peg.469
 III-A1		113_1	fig|1462996.4.peg.2634
 III-A1		113_1	fig|582475.4.peg.4724
 III-A1		113_1	fig|1773.7915.peg.7638
 III-A1	 IIIA1	113_1	fig|360310.3.peg.4853
 III-A1		113_1	fig|1396.515.peg.2936
 III-A1		113_1	fig|662367.4.peg.242
 III-A1	 IIIA1	ni	fig|1895719.3.peg.2950
 III-A1	 IIIA1	113_1	fig|906888.9.peg.926
 III-A1	 IIIA1	113_1	fig|694433.3.peg.2346
 III-A1	 IIIA1	113_1	fig|1167006.5.peg.2941
 III-A1		113_1	fig|649724.3.peg.304
 III-A1	 IIIA1	113_1	fig|1505.32.peg.2959
 III-A1		np	fig|1953142.3.peg.1858
 III-A1		np	fig|2029590.3.peg.2754
 III-A1		113_1	fig|29581.33.peg.2300
 III-A1		113_1	fig|40324.292.peg.236
 III-A1		113_1	fig|1403329.3.peg.287
 III-A1		np	fig|1121865.3.peg.1262
 III-A1	 IIIA1	np	fig|1120746.3.peg.3113
 III-A1	 IIIA1	np	fig|1952299.3.peg.221
 III-A1	 IIIA1	np	fig|1965604.3.peg.686
 III-A1		na	fig|1673717.3.peg.805
 III-A1		np	WP_116884683.1
 III-A1		np	fig|1948697.3.peg.196
	Ec107-like	NC	fig|1232460.3.peg.46
	Ec107-like	NC	WP_007864340.1
	Ec107-like	NC	WP_055649738.1
	Ec107-like	NC	fig|1226325.3.peg.2005
		na	fig|1432052.10.peg.3166
	Ec107-like	NC	fig|208479.8.peg.4376
	Ec107-like	NC	fig|1298920.3.peg.1959
	Ec107-like	NC	fig|1776047.3.peg.4241
	Ec107-like	NC	fig|1946596.3.peg.2399
	Ec107-like	NC	fig|1946603.3.peg.924
	Ec107-like	NC	fig|1410651.3.peg.407
		na	fig|1697784.3.peg.9617
	Ec107-like	NC	fig|1745713.3.peg.3865
	Ec107-like	NC	fig|180332.3.peg.1515
	Ec107-like	NC	WP_072851604.1
	Ec107-like	NC	WP_003507561.1
	Ec107-like	NC	fig|1111728.3.peg.587
	Ec107-like	NC	fig|1122977.4.peg.2473
	Ec107-like	NC	fig|1950915.3.peg.189
		NC	fig|1950927.3.peg.912
	Ec107-like	NC	ERK60856.1
	Ec107-like	NC	WP_009260579.1
	Ec107-like	NC	fig|1235797.3.peg.2409
		na	fig|1520815.3.peg.1262
	Ec107-like	NC	fig|1855302.3.peg.1138
		na	fig|43305.5.peg.3631
	Ec107-like	NC	fig|411463.15.peg.1791
	Ec107-like	NC	fig|1235792.3.peg.3837
	Ec107-like	NC	fig|97139.3.peg.669
	Ec107-like	NC	fig|1291051.3.peg.1165
	Ec107-like	NC	fig|1532.6.peg.4793
	Ec107-like	NC	fig|1121114.4.peg.5478
	Ec107-like	NC	fig|1262776.3.peg.1908
	Ec107-like	NC	fig|1262792.3.peg.1164
		na	fig|1262995.3.peg.2852
	Ec107-like	NC	fig|537007.17.peg.3146
	Ec107-like	NC	fig|1965569.3.peg.1928
	Ec107-like	NC	fig|1952411.3.peg.2018
		NC	fig|1965578.3.peg.1947
	Ec107-like	NC	WP_001775049.1
		na	WP_012602583.1
	Ec107-like	NC	WP_015962464.1
		na	fig|1005999.3.peg.3342
	Ec107-like	NC	fig|1378073.3.peg.795
	Ec107-like	NC	fig|911023.3.peg.138
	Ec107-like	NC	fig|1834193.3.peg.4113
	Ec107-like	NC	fig|1649188.10.peg.406
	Ec107-like	NC	fig|1430899.3.peg.278
	Ec107-like	NC	fig|1211844.4.peg.748
		na	fig|1658109.3.peg.34
	Ec107-like	NC	fig|1262793.3.peg.950
	Ec107-like	NC	fig|1262908.3.peg.1120
		na	fig|1674844.3.peg.242
	Ec107-like	NC	fig|1410672.3.peg.2823
	Ec107-like	NC	fig|1947424.3.peg.1718
	Ec107-like	NC	fig|1265.9.peg.2602
	Ec107-like	NC	fig|1336236.3.peg.1817
	Ec107-like	NC	CDC65895.1
		NC	WP_092946213.1
			fig|1307.1644.peg.1532
 IV	 IV	826_1	WP_050516365.1
 IV	 IV	826_1	WP_097505494.1
 IV	 IV	826_1	fig|573.15585.peg.2343
 IV	 IV	826_1	WP_023581669.1
 IV	 IV	826_1	WP_079656969.1
 IV	 IV	826_1	WP_090085157.1
 IV	 IV	826_1	fig|573.15584.peg.1543
 IV	 IV	826_1	WP_023330997.1
 IV	 IV	826_1	fig|72407.673.peg.2552
 IV	 IV	826_1	CNM01182.1
 IV	 IV	826_1	CNG88012.1
 IV	 IV	826_1	fig|1925763.3.peg.649
 IV	 IV	826_1	PKW24121.1
 IV	 IV	826_1	WP_045597342.1
 IV	 IV	826_1	WP_098972386.1
 IV	 IV	826_1	WP_005172873.1
 IV	 IV	826_1	WP_052979504.1
 IV	 IV	np	WP_083069261.1
 IV		826_1	WP_053911905.1
 IV	 IV	826_1	fig|1916082.18.peg.39
 IV		826_1	WP_046555216.1
 IV	 IV	826_1	KPW01986.1
 IV		ni	WP_094277737.1
 IV	 IV	826_1	fig|1414654.3.peg.2005
 IV	 IV	826_1	WP_008133621.1
 IV		826_1	KQA22543.1
 IV	 IV	826_1	WP_000284440.1
 IV	 IV	826_1	WP_011261677.1
 IV		na	KEE40622.1
